date,year,month,latitude,longitude,co2_ppm
2003-01-01,2003,1,32.250000,75.750000,375.767029
2003-01-01,2003,1,32.250000,76.500000,374.697845
2003-01-01,2003,1,32.250000,77.250000,374.067719
2003-01-01,2003,1,32.250000,78.000000,373.730286
2003-01-01,2003,1,32.250000,78.750000,373.663818
2003-01-01,2003,1,32.250000,79.500000,373.681763
2003-01-01,2003,1,32.250000,80.250000,373.644806
2003-01-01,2003,1,32.250000,81.000000,373.606659
2003-01-01,2003,1,32.250000,81.750000,373.637054
2003-01-01,2003,1,32.250000,82.500000,373.630341
2003-01-01,2003,1,32.250000,83.250000,373.622620
2003-01-01,2003,1,32.250000,84.000000,373.653717
2003-01-01,2003,1,32.250000,84.750000,373.620850
2003-01-01,2003,1,32.250000,85.500000,373.595703
2003-01-01,2003,1,32.250000,86.250000,373.632477
2003-01-01,2003,1,32.250000,87.000000,373.636627
2003-01-01,2003,1,32.250000,87.750000,373.617401
2003-01-01,2003,1,32.250000,88.500000,373.642853
2003-01-01,2003,1,32.250000,89.250000,373.652710
2003-01-01,2003,1,32.250000,90.000000,373.633942
2003-01-01,2003,1,32.250000,90.750000,373.689117
2003-01-01,2003,1,32.250000,91.500000,373.690002
2003-01-01,2003,1,32.250000,92.250000,373.655579
2003-01-01,2003,1,32.250000,93.000000,373.686584
2003-01-01,2003,1,32.250000,93.750000,373.736206
2003-01-01,2003,1,32.250000,94.500000,373.663208
2003-01-01,2003,1,32.250000,95.250000,373.650146
2003-01-01,2003,1,32.250000,96.000000,373.812805
2003-01-01,2003,1,32.250000,96.750000,373.965057
2003-01-01,2003,1,32.250000,97.500000,373.840332
2003-01-01,2003,1,31.500000,73.500000,376.104858
2003-01-01,2003,1,31.500000,74.250000,376.110565
2003-01-01,2003,1,31.500000,75.000000,376.144806
2003-01-01,2003,1,31.500000,75.750000,376.550842
2003-01-01,2003,1,31.500000,76.500000,375.835388
2003-01-01,2003,1,31.500000,77.250000,374.596039
2003-01-01,2003,1,31.500000,78.000000,374.077606
2003-01-01,2003,1,31.500000,78.750000,373.788971
2003-01-01,2003,1,31.500000,79.500000,373.701508
2003-01-01,2003,1,31.500000,80.250000,373.655762
2003-01-01,2003,1,31.500000,81.000000,373.609924
2003-01-01,2003,1,31.500000,81.750000,373.571594
2003-01-01,2003,1,31.500000,82.500000,373.548035
2003-01-01,2003,1,31.500000,83.250000,373.569855
2003-01-01,2003,1,31.500000,84.000000,373.626892
2003-01-01,2003,1,31.500000,84.750000,373.641815
2003-01-01,2003,1,31.500000,85.500000,373.633850
2003-01-01,2003,1,31.500000,86.250000,373.640808
2003-01-01,2003,1,31.500000,87.000000,373.645569
2003-01-01,2003,1,31.500000,87.750000,373.630768
2003-01-01,2003,1,31.500000,88.500000,373.639862
2003-01-01,2003,1,31.500000,89.250000,373.664307
2003-01-01,2003,1,31.500000,90.000000,373.643555
2003-01-01,2003,1,31.500000,90.750000,373.719879
2003-01-01,2003,1,31.500000,91.500000,373.742188
2003-01-01,2003,1,31.500000,92.250000,373.676086
2003-01-01,2003,1,31.500000,93.000000,373.635803
2003-01-01,2003,1,31.500000,93.750000,373.667084
2003-01-01,2003,1,31.500000,94.500000,373.644043
2003-01-01,2003,1,31.500000,95.250000,373.664978
2003-01-01,2003,1,31.500000,96.000000,373.732910
2003-01-01,2003,1,31.500000,96.750000,373.854523
2003-01-01,2003,1,31.500000,97.500000,373.810181
2003-01-01,2003,1,30.750000,73.500000,376.100891
2003-01-01,2003,1,30.750000,74.250000,376.197601
2003-01-01,2003,1,30.750000,75.000000,376.120148
2003-01-01,2003,1,30.750000,75.750000,376.463348
2003-01-01,2003,1,30.750000,76.500000,376.381622
2003-01-01,2003,1,30.750000,77.250000,375.397980
2003-01-01,2003,1,30.750000,78.000000,374.978912
2003-01-01,2003,1,30.750000,78.750000,374.182861
2003-01-01,2003,1,30.750000,79.500000,373.945251
2003-01-01,2003,1,30.750000,80.250000,373.774261
2003-01-01,2003,1,30.750000,81.000000,373.677277
2003-01-01,2003,1,30.750000,81.750000,373.606873
2003-01-01,2003,1,30.750000,82.500000,373.572845
2003-01-01,2003,1,30.750000,83.250000,373.565948
2003-01-01,2003,1,30.750000,84.000000,373.573029
2003-01-01,2003,1,30.750000,84.750000,373.568634
2003-01-01,2003,1,30.750000,85.500000,373.588593
2003-01-01,2003,1,30.750000,86.250000,373.582001
2003-01-01,2003,1,30.750000,87.000000,373.581879
2003-01-01,2003,1,30.750000,87.750000,373.571320
2003-01-01,2003,1,30.750000,88.500000,373.560669
2003-01-01,2003,1,30.750000,89.250000,373.587036
2003-01-01,2003,1,30.750000,90.000000,373.570343
2003-01-01,2003,1,30.750000,90.750000,373.669159
2003-01-01,2003,1,30.750000,91.500000,373.650452
2003-01-01,2003,1,30.750000,92.250000,373.564636
2003-01-01,2003,1,30.750000,93.000000,373.514252
2003-01-01,2003,1,30.750000,93.750000,373.574371
2003-01-01,2003,1,30.750000,94.500000,373.580444
2003-01-01,2003,1,30.750000,95.250000,373.690186
2003-01-01,2003,1,30.750000,96.000000,373.592590
2003-01-01,2003,1,30.750000,96.750000,373.589569
2003-01-01,2003,1,30.750000,97.500000,373.641144
2003-01-01,2003,1,30.000000,73.500000,375.852325
2003-01-01,2003,1,30.000000,74.250000,375.945343
2003-01-01,2003,1,30.000000,75.000000,375.865723
2003-01-01,2003,1,30.000000,75.750000,376.007019
2003-01-01,2003,1,30.000000,76.500000,376.228882
2003-01-01,2003,1,30.000000,77.250000,375.973175
2003-01-01,2003,1,30.000000,78.000000,375.661346
2003-01-01,2003,1,30.000000,78.750000,374.647064
2003-01-01,2003,1,30.000000,79.500000,374.012817
2003-01-01,2003,1,30.000000,80.250000,374.209137
2003-01-01,2003,1,30.000000,81.000000,374.160797
2003-01-01,2003,1,30.000000,81.750000,373.910919
2003-01-01,2003,1,30.000000,82.500000,373.744781
2003-01-01,2003,1,30.000000,83.250000,373.649017
2003-01-01,2003,1,30.000000,84.000000,373.622070
2003-01-01,2003,1,30.000000,84.750000,373.567749
2003-01-01,2003,1,30.000000,85.500000,373.558228
2003-01-01,2003,1,30.000000,86.250000,373.549103
2003-01-01,2003,1,30.000000,87.000000,373.547882
2003-01-01,2003,1,30.000000,87.750000,373.562225
2003-01-01,2003,1,30.000000,88.500000,373.590363
2003-01-01,2003,1,30.000000,89.250000,373.611328
2003-01-01,2003,1,30.000000,90.000000,373.569580
2003-01-01,2003,1,30.000000,90.750000,373.743774
2003-01-01,2003,1,30.000000,91.500000,373.698425
2003-01-01,2003,1,30.000000,92.250000,373.546448
2003-01-01,2003,1,30.000000,93.000000,373.488159
2003-01-01,2003,1,30.000000,93.750000,373.560303
2003-01-01,2003,1,30.000000,94.500000,373.582153
2003-01-01,2003,1,30.000000,95.250000,373.902435
2003-01-01,2003,1,30.000000,96.000000,373.567780
2003-01-01,2003,1,30.000000,96.750000,373.489197
2003-01-01,2003,1,30.000000,97.500000,373.544098
2003-01-01,2003,1,29.250000,73.500000,375.592407
2003-01-01,2003,1,29.250000,74.250000,375.584259
2003-01-01,2003,1,29.250000,75.000000,375.600006
2003-01-01,2003,1,29.250000,75.750000,375.671326
2003-01-01,2003,1,29.250000,76.500000,375.807098
2003-01-01,2003,1,29.250000,77.250000,375.987640
2003-01-01,2003,1,29.250000,78.000000,376.005371
2003-01-01,2003,1,29.250000,78.750000,375.335480
2003-01-01,2003,1,29.250000,79.500000,374.682831
2003-01-01,2003,1,29.250000,80.250000,374.215271
2003-01-01,2003,1,29.250000,81.000000,374.112213
2003-01-01,2003,1,29.250000,81.750000,374.236267
2003-01-01,2003,1,29.250000,82.500000,373.972992
2003-01-01,2003,1,29.250000,83.250000,373.734833
2003-01-01,2003,1,29.250000,84.000000,373.691803
2003-01-01,2003,1,29.250000,84.750000,373.646576
2003-01-01,2003,1,29.250000,85.500000,373.611206
2003-01-01,2003,1,29.250000,86.250000,373.604706
2003-01-01,2003,1,29.250000,87.000000,373.656616
2003-01-01,2003,1,29.250000,87.750000,373.745270
2003-01-01,2003,1,29.250000,88.500000,373.861816
2003-01-01,2003,1,29.250000,89.250000,373.821228
2003-01-01,2003,1,29.250000,90.000000,373.663879
2003-01-01,2003,1,29.250000,90.750000,373.655060
2003-01-01,2003,1,29.250000,91.500000,373.785248
2003-01-01,2003,1,29.250000,92.250000,373.609009
2003-01-01,2003,1,29.250000,93.000000,373.471924
2003-01-01,2003,1,29.250000,93.750000,373.534454
2003-01-01,2003,1,29.250000,94.500000,373.717072
2003-01-01,2003,1,29.250000,95.250000,374.169678
2003-01-01,2003,1,29.250000,96.000000,373.651276
2003-01-01,2003,1,29.250000,96.750000,373.556763
2003-01-01,2003,1,29.250000,97.500000,373.559113
2003-01-01,2003,1,28.500000,73.500000,375.374481
2003-01-01,2003,1,28.500000,74.250000,375.376282
2003-01-01,2003,1,28.500000,75.000000,375.373627
2003-01-01,2003,1,28.500000,75.750000,375.461945
2003-01-01,2003,1,28.500000,76.500000,375.530151
2003-01-01,2003,1,28.500000,77.250000,375.815094
2003-01-01,2003,1,28.500000,78.000000,375.896576
2003-01-01,2003,1,28.500000,78.750000,375.831146
2003-01-01,2003,1,28.500000,79.500000,375.439209
2003-01-01,2003,1,28.500000,80.250000,375.089111
2003-01-01,2003,1,28.500000,81.000000,374.724823
2003-01-01,2003,1,28.500000,81.750000,374.323212
2003-01-01,2003,1,28.500000,82.500000,374.023804
2003-01-01,2003,1,28.500000,83.250000,374.087463
2003-01-01,2003,1,28.500000,84.000000,374.120087
2003-01-01,2003,1,28.500000,84.750000,373.989380
2003-01-01,2003,1,28.500000,85.500000,373.776428
2003-01-01,2003,1,28.500000,86.250000,373.656708
2003-01-01,2003,1,28.500000,87.000000,373.674835
2003-01-01,2003,1,28.500000,87.750000,373.679871
2003-01-01,2003,1,28.500000,88.500000,373.619904
2003-01-01,2003,1,28.500000,89.250000,373.600647
2003-01-01,2003,1,28.500000,90.000000,373.567444
2003-01-01,2003,1,28.500000,90.750000,373.451660
2003-01-01,2003,1,28.500000,91.500000,373.423920
2003-01-01,2003,1,28.500000,92.250000,373.487885
2003-01-01,2003,1,28.500000,93.000000,373.439270
2003-01-01,2003,1,28.500000,93.750000,373.516968
2003-01-01,2003,1,28.500000,94.500000,373.691162
2003-01-01,2003,1,28.500000,95.250000,373.840149
2003-01-01,2003,1,28.500000,96.000000,373.703217
2003-01-01,2003,1,28.500000,96.750000,373.676361
2003-01-01,2003,1,28.500000,97.500000,373.552246
2003-01-01,2003,1,27.750000,73.500000,375.269867
2003-01-01,2003,1,27.750000,74.250000,375.285461
2003-01-01,2003,1,27.750000,75.000000,375.240845
2003-01-01,2003,1,27.750000,75.750000,375.260101
2003-01-01,2003,1,27.750000,76.500000,375.365204
2003-01-01,2003,1,27.750000,77.250000,375.617279
2003-01-01,2003,1,27.750000,78.000000,375.628906
2003-01-01,2003,1,27.750000,78.750000,375.976837
2003-01-01,2003,1,27.750000,79.500000,375.734070
2003-01-01,2003,1,27.750000,80.250000,375.606262
2003-01-01,2003,1,27.750000,81.000000,375.403473
2003-01-01,2003,1,27.750000,81.750000,375.083862
2003-01-01,2003,1,27.750000,82.500000,374.875580
2003-01-01,2003,1,27.750000,83.250000,374.613586
2003-01-01,2003,1,27.750000,84.000000,374.839783
2003-01-01,2003,1,27.750000,84.750000,374.405975
2003-01-01,2003,1,27.750000,85.500000,374.156952
2003-01-01,2003,1,27.750000,86.250000,374.046570
2003-01-01,2003,1,27.750000,87.000000,374.015289
2003-01-01,2003,1,27.750000,87.750000,373.878204
2003-01-01,2003,1,27.750000,88.500000,373.789978
2003-01-01,2003,1,27.750000,89.250000,373.775238
2003-01-01,2003,1,27.750000,90.000000,373.886688
2003-01-01,2003,1,27.750000,90.750000,373.476135
2003-01-01,2003,1,27.750000,91.500000,373.518921
2003-01-01,2003,1,27.750000,92.250000,373.720978
2003-01-01,2003,1,27.750000,93.000000,372.618439
2003-01-01,2003,1,27.750000,93.750000,373.496948
2003-01-01,2003,1,27.750000,94.500000,373.667969
2003-01-01,2003,1,27.750000,95.250000,374.078400
2003-01-01,2003,1,27.750000,96.000000,373.570526
2003-01-01,2003,1,27.750000,96.750000,373.450745
2003-01-01,2003,1,27.750000,97.500000,373.166016
2003-01-01,2003,1,27.000000,73.500000,375.266144
2003-01-01,2003,1,27.000000,74.250000,375.276337
2003-01-01,2003,1,27.000000,75.000000,375.250549
2003-01-01,2003,1,27.000000,75.750000,375.241028
2003-01-01,2003,1,27.000000,76.500000,375.239929
2003-01-01,2003,1,27.000000,77.250000,375.392700
2003-01-01,2003,1,27.000000,78.000000,375.511414
2003-01-01,2003,1,27.000000,78.750000,375.654602
2003-01-01,2003,1,27.000000,79.500000,375.657562
2003-01-01,2003,1,27.000000,80.250000,375.531097
