location,date,requested_latitude,requested_longitude,latitude,longitude,co2_ppm,grid_latitude,grid_longitude
Dehradun,2007-10-01,30.316500,78.032200,30.000000,78.000000,383.333832,30.000000,78.000000
Dehradun,2007-11-01,30.316500,78.032200,30.000000,78.000000,385.138580,30.000000,78.000000
Dehradun,2007-12-01,30.316500,78.032200,30.000000,78.000000,385.608948,30.000000,78.000000
Dehradun,2008-01-01,30.316500,78.032200,30.000000,78.000000,386.291473,30.000000,78.000000
Dehradun,2008-02-01,30.316500,78.032200,30.000000,78.000000,386.713409,30.000000,78.000000
Dehradun,2008-03-01,30.316500,78.032200,30.000000,78.000000,387.779907,30.000000,78.000000
Dehradun,2008-04-01,30.316500,78.032200,30.000000,78.000000,389.485657,30.000000,78.000000
Dehradun,2008-05-01,30.316500,78.032200,30.000000,78.000000,391.056000,30.000000,78.000000
Dehradun,2008-06-01,30.316500,78.032200,30.000000,78.000000,391.462982,30.000000,78.000000
Dehradun,2008-07-01,30.316500,78.032200,30.000000,78.000000,388.999664,30.000000,78.000000
Dehradun,2008-08-01,30.316500,78.032200,30.000000,78.000000,386.571747,30.000000,78.000000
Dehradun,2008-09-01,30.316500,78.032200,30.000000,78.000000,384.918335,30.000000,78.000000
Dehradun,2008-10-01,30.316500,78.032200,30.000000,78.000000,385.667114,30.000000,78.000000
Dehradun,2008-11-01,30.316500,78.032200,30.000000,78.000000,386.393768,30.000000,78.000000
Dehradun,2008-12-01,30.316500,78.032200,30.000000,78.000000,387.612915,30.000000,78.000000
Dehradun,2009-01-01,30.316500,78.032200,30.000000,78.000000,388.291138,30.000000,78.000000
Dehradun,2009-02-01,30.316500,78.032200,30.000000,78.000000,388.775604,30.000000,78.000000
Dehradun,2009-03-01,30.316500,78.032200,30.000000,78.000000,390.147858,30.000000,78.000000
Dehradun,2009-04-01,30.316500,78.032200,30.000000,78.000000,391.229706,30.000000,78.000000
Dehradun,2009-05-01,30.316500,78.032200,30.000000,78.000000,393.000824,30.000000,78.000000
Dehradun,2009-06-01,30.316500,78.032200,30.000000,78.000000,392.249146,30.000000,78.000000
Dehradun,2009-07-01,30.316500,78.032200,30.000000,78.000000,391.479004,30.000000,78.000000
Dehradun,2009-08-01,30.316500,78.032200,30.000000,78.000000,389.549683,30.000000,78.000000
Dehradun,2009-09-01,30.316500,78.032200,30.000000,78.000000,387.518921,30.000000,78.000000
Dehradun,2009-10-01,30.316500,78.032200,30.000000,78.000000,386.398804,30.000000,78.000000
Dehradun,2009-11-01,30.316500,78.032200,30.000000,78.000000,387.779907,30.000000,78.000000
Dehradun,2009-12-01,30.316500,78.032200,30.000000,78.000000,388.969482,30.000000,78.000000
Dehradun,2010-01-01,30.316500,78.032200,30.000000,78.000000,389.864838,30.000000,78.000000
Dehradun,2010-02-01,30.316500,78.032200,30.000000,78.000000,390.229248,30.000000,78.000000
Dehradun,2010-03-01,30.316500,78.032200,30.000000,78.000000,392.060028,30.000000,78.000000
Dehradun,2010-04-01,30.316500,78.032200,30.000000,78.000000,394.201996,30.000000,78.000000
Dehradun,2010-05-01,30.316500,78.032200,30.000000,78.000000,394.977173,30.000000,78.000000
Dehradun,2010-06-01,30.316500,78.032200,30.000000,78.000000,394.157593,30.000000,78.000000
Dehradun,2010-07-01,30.316500,78.032200,30.000000,78.000000,393.873718,30.000000,78.000000
Dehradun,2010-08-01,30.316500,78.032200,30.000000,78.000000,390.324951,30.000000,78.000000
Dehradun,2010-09-01,30.316500,78.032200,30.000000,78.000000,389.197205,30.000000,78.000000
Dehradun,2010-10-01,30.316500,78.032200,30.000000,78.000000,389.170074,30.000000,78.000000
Dehradun,2010-11-01,30.316500,78.032200,30.000000,78.000000,390.281708,30.000000,78.000000
Dehradun,2010-12-01,30.316500,78.032200,30.000000,78.000000,391.186615,30.000000,78.000000
Dehradun,2011-01-01,30.316500,78.032200,30.000000,78.000000,392.098419,30.000000,78.000000
Dehradun,2011-02-01,30.316500,78.032200,30.000000,78.000000,392.461975,30.000000,78.000000
Dehradun,2011-03-01,30.316500,78.032200,30.000000,78.000000,393.737213,30.000000,78.000000
Dehradun,2011-04-01,30.316500,78.032200,30.000000,78.000000,395.366516,30.000000,78.000000
Dehradun,2011-05-01,30.316500,78.032200,30.000000,78.000000,397.087524,30.000000,78.000000
Dehradun,2011-06-01,30.316500,78.032200,30.000000,78.000000,397.791931,30.000000,78.000000
Dehradun,2011-07-01,30.316500,78.032200,30.000000,78.000000,395.617432,30.000000,78.000000
Dehradun,2011-08-01,30.316500,78.032200,30.000000,78.000000,392.700623,30.000000,78.000000
Dehradun,2011-09-01,30.316500,78.032200,30.000000,78.000000,390.817444,30.000000,78.000000
Dehradun,2011-10-01,30.316500,78.032200,30.000000,78.000000,390.981812,30.000000,78.000000
Dehradun,2011-11-01,30.316500,78.032200,30.000000,78.000000,392.517151,30.000000,78.000000
Dehradun,2011-12-01,30.316500,78.032200,30.000000,78.000000,392.692596,30.000000,78.000000
Dehradun,2012-01-01,30.316500,78.032200,30.000000,78.000000,393.462128,30.000000,78.000000
Dehradun,2012-02-01,30.316500,78.032200,30.000000,78.000000,394.607300,30.000000,78.000000
Dehradun,2012-03-01,30.316500,78.032200,30.000000,78.000000,395.589783,30.000000,78.000000
Dehradun,2012-04-01,30.316500,78.032200,30.000000,78.000000,396.873169,30.000000,78.000000
Dehradun,2012-05-01,30.316500,78.032200,30.000000,78.000000,397.666351,30.000000,78.000000
Dehradun,2012-06-01,30.316500,78.032200,30.000000,78.000000,399.012238,30.000000,78.000000
Dehradun,2012-07-01,30.316500,78.032200,30.000000,78.000000,399.044983,30.000000,78.000000
Dehradun,2012-08-01,30.316500,78.032200,30.000000,78.000000,395.059631,30.000000,78.000000
Dehradun,2012-09-01,30.316500,78.032200,30.000000,78.000000,392.733032,30.000000,78.000000
Dehradun,2012-10-01,30.316500,78.032200,30.000000,78.000000,392.960449,30.000000,78.000000
Dehradun,2012-11-01,30.316500,78.032200,30.000000,78.000000,394.003021,30.000000,78.000000
Dehradun,2012-12-01,30.316500,78.032200,30.000000,78.000000,395.333099,30.000000,78.000000
Dehradun,2013-01-01,30.316500,78.032200,30.000000,78.000000,396.212494,30.000000,78.000000
Dehradun,2013-02-01,30.316500,78.032200,30.000000,78.000000,396.136841,30.000000,78.000000
Dehradun,2013-03-01,30.316500,78.032200,30.000000,78.000000,397.017548,30.000000,78.000000
Dehradun,2013-04-01,30.316500,78.032200,30.000000,78.000000,399.169342,30.000000,78.000000
Dehradun,2013-05-01,30.316500,78.032200,30.000000,78.000000,399.674866,30.000000,78.000000
Dehradun,2013-06-01,30.316500,78.032200,30.000000,78.000000,401.828400,30.000000,78.000000
Dehradun,2013-07-01,30.316500,78.032200,30.000000,78.000000,398.536926,30.000000,78.000000
Dehradun,2013-08-01,30.316500,78.032200,30.000000,78.000000,395.854584,30.000000,78.000000
Dehradun,2013-09-01,30.316500,78.032200,30.000000,78.000000,394.401306,30.000000,78.000000
Dehradun,2013-10-01,30.316500,78.032200,30.000000,78.000000,394.097748,30.000000,78.000000
Dehradun,2013-11-01,30.316500,78.032200,30.000000,78.000000,395.065765,30.000000,78.000000
Dehradun,2013-12-01,30.316500,78.032200,30.000000,78.000000,396.709778,30.000000,78.000000
Dehradun,2014-01-01,30.316500,78.032200,30.000000,78.000000,396.731079,30.000000,78.000000
Dehradun,2014-02-01,30.316500,78.032200,30.000000,78.000000,397.281128,30.000000,78.000000
Dehradun,2014-03-01,30.316500,78.032200,30.000000,78.000000,398.883850,30.000000,78.000000
Dehradun,2014-04-01,30.316500,78.032200,30.000000,78.000000,400.331573,30.000000,78.000000
Dehradun,2014-05-01,30.316500,78.032200,30.000000,78.000000,401.547607,30.000000,78.000000
Dehradun,2014-06-01,30.316500,78.032200,30.000000,78.000000,401.699768,30.000000,78.000000
Dehradun,2014-07-01,30.316500,78.032200,30.000000,78.000000,401.194641,30.000000,78.000000
Dehradun,2014-08-01,30.316500,78.032200,30.000000,78.000000,398.339905,30.000000,78.000000
Dehradun,2014-09-01,30.316500,78.032200,30.000000,78.000000,396.236328,30.000000,78.000000
Dehradun,2014-10-01,30.316500,78.032200,30.000000,78.000000,395.169556,30.000000,78.000000
Dehradun,2014-11-01,30.316500,78.032200,30.000000,78.000000,396.500458,30.000000,78.000000
Dehradun,2014-12-01,30.316500,78.032200,30.000000,78.000000,397.589325,30.000000,78.000000
Dehradun,2015-01-01,30.316500,78.032200,30.000000,78.000000,398.204987,30.000000,78.000000
Dehradun,2015-02-01,30.316500,78.032200,30.000000,78.000000,399.166504,30.000000,78.000000
Dehradun,2015-03-01,30.316500,78.032200,30.000000,78.000000,400.425476,30.000000,78.000000
Dehradun,2015-04-01,30.316500,78.032200,30.000000,78.000000,402.059265,30.000000,78.000000
Dehradun,2015-05-01,30.316500,78.032200,30.000000,78.000000,402.606323,30.000000,78.000000
Dehradun,2015-06-01,30.316500,78.032200,30.000000,78.000000,402.995819,30.000000,78.000000
Dehradun,2015-07-01,30.316500,78.032200,30.000000,78.000000,402.023376,30.000000,78.000000
Dehradun,2015-08-01,30.316500,78.032200,30.000000,78.000000,400.326691,30.000000,78.000000
Dehradun,2015-09-01,30.316500,78.032200,30.000000,78.000000,398.606689,30.000000,78.000000
Dehradun,2015-10-01,30.316500,78.032200,30.000000,78.000000,398.419647,30.000000,78.000000
Dehradun,2015-11-01,30.316500,78.032200,30.000000,78.000000,399.688293,30.000000,78.000000
Dehradun,2015-12-01,30.316500,78.032200,30.000000,78.000000,400.958923,30.000000,78.000000
Dehradun,2016-01-01,30.316500,78.032200,30.000000,78.000000,401.717468,30.000000,78.000000
Dehradun,2016-02-01,30.316500,78.032200,30.000000,78.000000,402.197845,30.000000,78.000000
Dehradun,2016-03-01,30.316500,78.032200,30.000000,78.000000,403.414856,30.000000,78.000000
Dehradun,2016-04-01,30.316500,78.032200,30.000000,78.000000,405.149231,30.000000,78.000000
Dehradun,2016-05-01,30.316500,78.032200,30.000000,78.000000,407.623718,30.000000,78.000000
Dehradun,2016-06-01,30.316500,78.032200,30.000000,78.000000,409.616211,30.000000,78.000000
Dehradun,2016-07-01,30.316500,78.032200,30.000000,78.000000,406.739594,30.000000,78.000000
Dehradun,2016-08-01,30.316500,78.032200,30.000000,78.000000,402.944153,30.000000,78.000000
Dehradun,2016-09-01,30.316500,78.032200,30.000000,78.000000,401.248413,30.000000,78.000000
Dehradun,2016-10-01,30.316500,78.032200,30.000000,78.000000,401.574432,30.000000,78.000000
Dehradun,2016-11-01,30.316500,78.032200,30.000000,78.000000,402.312775,30.000000,78.000000
Dehradun,2016-12-01,30.316500,78.032200,30.000000,78.000000,404.259583,30.000000,78.000000
Dehradun,2017-01-01,30.316500,78.032200,30.000000,78.000000,403.828552,30.000000,78.000000
Dehradun,2017-02-01,30.316500,78.032200,30.000000,78.000000,404.548401,30.000000,78.000000
Dehradun,2017-03-01,30.316500,78.032200,30.000000,78.000000,405.622223,30.000000,78.000000
Dehradun,2017-04-01,30.316500,78.032200,30.000000,78.000000,407.754242,30.000000,78.000000
Dehradun,2017-05-01,30.316500,78.032200,30.000000,78.000000,409.363373,30.000000,78.000000
Dehradun,2017-06-01,30.316500,78.032200,30.000000,78.000000,408.507599,30.000000,78.000000
Dehradun,2017-07-01,30.316500,78.032200,30.000000,78.000000,407.611847,30.000000,78.000000
Dehradun,2017-08-01,30.316500,78.032200,30.000000,78.000000,405.461212,30.000000,78.000000
Dehradun,2017-09-01,30.316500,78.032200,30.000000,78.000000,403.112305,30.000000,78.000000
Dehradun,2017-10-01,30.316500,78.032200,30.000000,78.000000,402.173981,30.000000,78.000000
Dehradun,2017-11-01,30.316500,78.032200,30.000000,78.000000,402.714722,30.000000,78.000000
Dehradun,2017-12-01,30.316500,78.032200,30.000000,78.000000,404.717407,30.000000,78.000000
Dehradun,2018-01-01,30.316500,78.032200,30.000000,78.000000,405.901093,30.000000,78.000000
