_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
2590,2590,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,01-06-2026 20:00,4
2591,2591,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,01-06-2026 21:00,3.5
2592,2592,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,01-06-2026 22:00,0.5
2593,2593,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,02-06-2026 01:00,4
2594,2594,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,02-06-2026 05:00,2
2595,2595,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,02-06-2026 08:00,1
2596,2596,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,02-06-2026 10:00,1.5
2597,2597,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,02-06-2026 11:00,2.5
2598,2598,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,02-06-2026 12:00,16.5
2599,2599,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,02-06-2026 13:00,16
2600,2600,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,02-06-2026 14:00,5
