SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
31,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 07:30,14.5
32,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 08:30,1.5
33,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 09:30,1.5
34,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 10:30,1.5
35,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 12:30,0.5
36,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 13:30,3.5
37,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 14:30,2.5
38,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 15:30,1
39,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 16:30,5
40,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 18:30,4.5
41,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 20:30,2.5
42,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 21:30,0.5
43,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 22:30,2
44,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 23:30,8
45,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,20-06-2021 00:30,5
46,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,20-06-2021 01:30,1
47,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,20-06-2021 02:30,0.5
48,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,20-06-2021 04:30,0.5
49,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,20-06-2021 07:30,1
50,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,20-06-2021 08:30,3.5
51,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,20-06-2021 09:30,4
52,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,20-06-2021 10:30,1
53,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,20-06-2021 12:30,1.5
54,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,21-06-2021 01:30,2.5
55,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,21-06-2021 20:30,0.5
56,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,23-06-2021 01:30,1
57,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,23-06-2021 08:30,0.5
58,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,23-06-2021 18:30,2.5
59,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,23-06-2021 19:30,14.5
60,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,23-06-2021 20:30,0.5
61,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,23-06-2021 21:30,0.5
62,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,24-06-2021 18:30,1
63,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,24-06-2021 21:30,1.5
64,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,25-06-2021 09:30,0.5
65,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,26-06-2021 06:30,0.5
66,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,27-06-2021 18:30,1
67,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,27-06-2021 19:30,0.5
68,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,29-06-2021 15:30,1
69,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,29-06-2021 16:30,0.5
70,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,29-06-2021 23:30,3.5
71,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,30-06-2021 00:30,2.5
72,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,30-06-2021 01:30,1
73,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,30-06-2021 02:30,0.5
74,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,30-06-2021 03:30,1
75,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,30-06-2021 04:30,2
76,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,30-06-2021 05:30,8
77,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,30-06-2021 07:30,2
78,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,30-06-2021 08:30,3
79,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,30-06-2021 09:30,1.5
80,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,30-06-2021 10:30,0.5
81,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,30-06-2021 13:30,0.5
82,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,01-07-2021 01:30,3
83,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,01-07-2021 02:30,2
84,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,01-07-2021 03:30,2.5
85,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,01-07-2021 04:30,6.5
86,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,01-07-2021 06:30,10
87,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,01-07-2021 07:30,4
88,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,01-07-2021 09:30,0.5
89,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,01-07-2021 10:30,1
90,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,01-07-2021 12:30,3
91,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 01:30,1
92,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 02:30,0.5
93,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 03:30,0.5
94,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 07:30,0.5
95,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 09:30,6
96,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 10:30,4.5
97,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 11:30,3
98,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 12:30,1.5
99,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 13:30,0.5
100,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 19:30,0.5
101,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 20:30,0.5
102,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 21:30,5.5
103,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,02-07-2021 23:30,0.5
104,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,03-07-2021 01:30,0.5
105,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,03-07-2021 02:30,1
106,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,03-07-2021 04:30,2
107,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,03-07-2021 05:30,0.5
108,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,03-07-2021 06:30,1.5
109,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,03-07-2021 07:30,1
110,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,03-07-2021 08:30,1.5
111,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,03-07-2021 09:30,0.5
112,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,03-07-2021 10:30,2
113,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,03-07-2021 11:30,1.5
114,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,03-07-2021 12:30,0.5
115,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,03-07-2021 21:30,5
116,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,04-07-2021 01:30,1.5
117,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,04-07-2021 02:30,0.5
118,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,04-07-2021 17:30,0.5
119,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,04-07-2021 18:30,0.5
120,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,04-07-2021 19:30,3.5
121,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,04-07-2021 20:30,1.5
122,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,04-07-2021 21:30,1
123,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,05-07-2021 00:30,0.5
124,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,06-07-2021 12:30,0.5
125,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,06-07-2021 18:30,0.5
126,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,07-07-2021 12:30,0.5
127,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,07-07-2021 16:30,0.5
128,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,08-07-2021 05:30,3.5
129,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,08-07-2021 06:30,13.5
130,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,08-07-2021 08:30,5
131,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,08-07-2021 09:30,0.5
132,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,09-07-2021 22:30,0.5
133,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,09-07-2021 23:30,2.5
134,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,10-07-2021 00:30,0.5
135,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,10-07-2021 11:30,0.5
136,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,11-07-2021 05:30,1
137,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,14-07-2021 05:30,0.5
