SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
32,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 17:00,0.5
33,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 18:00,1
34,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 19:00,3.5
35,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 20:00,4
36,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 21:00,4
37,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 22:00,2.5
38,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 23:00,8
39,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 00:00,7.5
40,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 01:00,15
41,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 02:00,2.5
42,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 03:00,8
43,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 08:00,1
44,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 09:00,114.5
45,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 10:00,30.5
46,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 12:00,13.5
47,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 13:00,20.5
48,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 14:00,56.5
49,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 15:00,37.5
50,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 16:00,16
51,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 17:00,0.5
52,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 19:00,6
53,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 20:00,10.5
54,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 21:00,12
55,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 22:00,7
56,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 23:00,3
57,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,21-05-2021 00:00,3.5
58,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,21-05-2021 01:00,0.5
59,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,01-06-2021 00:00,10.5
60,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,01-06-2021 01:00,1.5
61,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,01-06-2021 02:00,3
62,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,01-06-2021 03:00,2
63,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,10-06-2021 00:00,0.5
64,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,10-06-2021 01:00,1.5
65,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,10-06-2021 02:00,5.5
66,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,10-06-2021 03:00,2.5
67,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,10-06-2021 18:00,0.5
68,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,12-06-2021 02:00,7
