SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
30,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,02-09-2022 13:00,2
31,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,02-09-2022 14:00,1
32,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 06:00,8
33,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 07:00,11.5
34,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 08:00,10
35,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 09:00,11.5
36,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 10:00,1.5
37,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 13:00,0.5
38,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 16:00,2.5
39,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 17:00,1
40,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 19:00,0.5
41,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 20:00,0.5
42,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 21:00,6.5
43,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 22:00,6.5
44,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,03-09-2022 23:00,20
45,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 00:00,6
46,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 01:00,6
47,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 02:00,2.5
48,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 03:00,13
49,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 05:00,10
50,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 06:00,0.5
51,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 08:00,8.5
52,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 11:00,0.5
53,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 12:00,0.5
54,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 13:00,2.5
55,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 15:00,0.5
56,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 19:00,2
